artists,genres
Ace Hood,"['dirty south rap', 'gangster rap', 'hip hop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Ace Lover,[]
Ace of Base,"['bubblegum dance', 'dance pop', 'eurodance', 'europop', 'hip house', 'pop rock']"
Ace of Cups,[]
Ace Spectrum,['classic soul']
Ace Ventura,"['progressive psytrance', 'psychedelic trance']"
Aceaxe,[]
Acerina Y Su Danzonera,"['mexican rock-and-roll', 'ranchera']"
Aceyalone,"['abstract hip hop', 'alternative hip hop', 'hip hop', 'turntablism', 'underground rap']"
Achille Togliani,"['canzone napoletana', 'classic italian pop', 'vintage italian pop']"
Achtung Baby,[]
Acid Bath,"['doom metal', 'louisiana metal', 'sludge metal', 'stoner metal']"
Acid King,"['doom metal', 'gaian doom', 'psychedelic doom', 'retro metal', 'sludge metal', 'space rock', 'stoner metal', 'stoner rock']"
Acid Klowns From Outer Space,[]
Acidozer,[]
Acker Bilk,"['adult standards', 'ballroom', 'brill building pop', 'easy listening', 'jazz clarinet', 'lounge']"
ACOT,['meme rap']
Acoustic Alchemy,"['british jazz', 'smooth jazz']"
Acrimony,[]
Action Bronson,"['alternative hip hop', 'east coast hip hop', 'hip hop', 'nyc rap', 'queens hip hop', 'rap', 'southern hip hop', 'underground hip hop']"
Activa,[]
Active Sight,['uplifting trance']
Acute,[]
Ad Brown,['progressive trance house']
Ad Kapone,[]
Ada,"['album rock', 'canadian pop', 'canadian singer-songwriter', 'classic canadian rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock']"
Ada Falcón,"['tango', 'tango cancion', 'vintage tango']"
Adalberto Santiago,"['latin jazz', 'salsa', 'salsa international', 'salsa puertorriquena', 'tropical']"
Adam & The Ants,"['dance rock', 'double drumming', 'new romantic', 'new wave', 'new wave pop', 'post-punk', 'punk', 'ska']"
Adam Ant,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave']"
Adam Calhoun,"['country rap', 'military rap', 'redneck']"
Adam Caroll,[]
Adam Doleac,"['contemporary country', 'country pop']"
Adam Ellis,"['progressive uplifting trance', 'uplifting trance']"
Adam F,[]
Adam Foley,['progressive uplifting trance']
Adam Gardner,[]
Adam Gontier,[]
Adam Gussow,['harmonica blues']
Adam Hicks,"['pop', 'post-teen pop']"
